Index;Issue;IVersion;OVersion;AVersion;FixVersion
90;TAJO-1251;0.9.0;0.10.0;0.9.0;0.10.0;
91;TAJO-1252;0.9.0;0.10.0;0.9.0;0.10.0;
92;TAJO-1254;0.9.0;0.10.0;0.9.0;0.10.0;
93;TAJO-1257;0.9.0;0.10.0;0.9.0;0.10.0;
94;TAJO-1259;0.9.0;0.10.0;0.9.0;0.10.0;
95;TAJO-1265;0.9.0;0.10.0;0.9.0;0.10.0;
96;TAJO-1270;0.9.0;0.10.0;0.9.0;0.10.0;
97;TAJO-1272;0.9.0;0.10.0;0.9.0;0.10.0;
98;TAJO-1275;0.9.0;0.10.0;0.9.0;0.10.0;
99;TAJO-1276;0.9.0;0.10.0;0.9.0;0.10.0;
100;TAJO-1277;0.11.3;0.10.0;0.11.3;0.11.0;
101;TAJO-1278;0.9.0;0.10.0;0.9.0;0.10.0;
102;TAJO-1283;0.11.3;0.10.0;0.11.3;0.11.0;
103;TAJO-1289;0.9.0;0.10.0;0.9.0;0.10.0;
104;TAJO-1297;0.9.0;0.10.0;0.9.0;0.10.0;
105;TAJO-1299;0.9.0;0.10.0;0.9.0;0.10.0;
106;TAJO-13;0.2.0;0.2.0;;0.2.0;
107;TAJO-130;0.2.0;0.2.0;;0.2.0;
108;TAJO-1303;0.10.0;0.10.0;;0.10.0;
109;TAJO-1304;0.10.0;0.10.0;;0.10.0;
110;TAJO-1305;0.9.0;0.10.0;0.9.0;0.10.0;
111;TAJO-1308;0.10.0;0.10.0;;0.10.0;
112;TAJO-1312;0.10.0;0.10.0;;0.10.0;
113;TAJO-1313;0.10.0;0.10.0;;0.10.0;
114;TAJO-1316;0.11.3;0.10.0;0.11.3;0.11.0;
115;TAJO-1318;0.10.0;0.10.0;;0.10.0;
116;TAJO-1319;0.9.0;0.10.0;0.9.0;0.10.0;
117;TAJO-1321;0.10.0;0.10.0;;0.10.0;
118;TAJO-1322;0.10.0;0.10.0;;0.10.0;
