@relation 'BOOKKEEPER'

@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
467,1,1,5,72,1010,14,50,2666,37,169,3236,44,170,2096,29,168,9,YES
55,1,1,1,3,45,15,15,165,55,55,165,55,55,165,55,55,1,NO
136,1,1,3,21,201,9,11,55,2,5,120,5,8,-10,0,4,3,YES
185,36,36,2,24,312,13,15,60,2,4,108,4,7,12,0,1,2,YES
164,1,1,2,17,105,6,9,150,8,14,300,17,28,0,0,0,2,NO
605,1,1,3,32,196,6,17,571,17,56,640,20,57,502,15,55,5,NO
209,36,36,3,45,456,10,15,258,5,10,291,6,12,225,5,8,4,YES
144,2,2,4,54,815,15,33,833,15,45,920,17,46,746,13,44,6,YES
44,1,1,1,22,132,6,11,506,23,45,539,24,45,473,21,45,2,YES
127,1,1,1,12,24,2,2,1524,127,127,1524,127,127,1524,127,127,1,YES
344,1,1,6,79,517,6,19,4500,56,257,5103,64,257,3897,49,257,10,YES
112,1,1,1,3,24,8,8,48,16,16,51,17,17,45,15,15,1,NO
56,1,1,2,22,98,4,7,564,25,43,564,25,43,564,25,43,3,NO
69,1,1,1,11,55,5,5,77,7,7,110,10,10,44,4,4,1,YES
151,1,1,2,20,513,25,33,1316,65,98,1344,67,98,1288,64,98,2,NO
102,1,1,1,3,45,15,15,306,102,102,306,102,102,306,102,102,1,NO
102,1,1,1,4,8,2,2,40,10,10,64,16,16,16,4,4,1,NO
76,1,1,1,3,45,15,15,228,76,76,228,76,76,228,76,76,1,NO
68,2,2,3,22,398,18,50,189,8,12,210,9,12,168,7,12,3,YES
127,36,36,3,20,148,7,11,44,2,4,507,25,49,-419,-20,2,2,YES
72,1,1,1,3,66,22,22,216,72,72,216,72,72,216,72,72,1,NO
85,1,1,1,3,45,15,15,69,23,23,72,24,24,66,22,22,1,NO
189,1,1,3,50,496,9,50,2830,56,98,2853,57,100,2807,56,96,6,YES
100,1,1,1,4,8,2,2,4,1,1,8,2,2,0,0,0,1,NO
532,1,1,4,67,500,7,22,1379,20,59,2254,33,87,504,7,31,11,NO
158,1,1,1,2,28,14,14,12,6,6,12,6,6,12,6,6,1,NO
165,36,36,3,109,980,8,15,1255,11,51,2634,24,84,-124,-1,23,10,YES
211,1,1,2,16,480,30,33,2658,166,204,2664,166,204,2652,165,204,2,NO
426,36,36,3,101,1133,11,33,1449,14,92,2623,25,163,275,2,21,9,YES
65,36,36,2,12,136,11,15,34,2,3,56,4,5,12,1,1,2,YES
455,1,1,2,30,215,7,17,69,2,10,118,3,20,20,0,1,4,NO
344,1,1,2,38,474,12,50,2887,75,139,2934,77,139,2840,74,139,4,YES
94,1,1,1,11,11,1,1,1034,94,94,1034,94,94,1034,94,94,1,YES
288,1,1,3,44,704,16,50,146,3,10,527,11,25,-235,-5,2,5,YES
400,2,2,6,111,517,4,22,1922,17,80,2173,19,81,1671,15,80,12,YES
214,1,1,4,83,567,6,15,566,6,20,1160,13,42,-28,0,13,9,YES
81,36,36,2,30,496,16,33,93,3,5,175,5,9,11,0,1,3,NO
166,1,1,1,24,192,8,11,2028,84,166,2064,86,166,1992,83,166,2,YES
127,1,1,2,12,120,10,19,180,15,25,264,22,34,96,8,16,2,NO
831,1,1,3,146,566,3,12,2808,19,47,4010,27,66,1606,11,43,15,YES
145,36,36,1,12,204,17,17,696,58,58,756,63,63,636,53,53,1,YES
78,1,1,1,3,45,15,15,27,9,9,27,9,9,27,9,9,1,NO
298,1,1,3,61,1127,18,50,3777,61,261,4091,67,261,3463,56,261,6,YES
459,1,1,1,3,9,3,3,78,26,26,99,33,33,57,19,19,1,NO
248,1,1,1,11,121,11,11,143,13,13,154,14,14,132,12,12,1,YES
147,1,1,1,11,44,4,4,11,1,1,22,2,2,0,0,0,1,YES
177,36,36,3,92,769,8,16,648,7,42,851,9,50,445,4,34,8,YES
534,1,1,2,16,417,26,50,448,28,54,522,32,63,374,23,45,3,NO
156,36,36,1,62,755,12,33,467,7,25,1161,18,57,-227,-3,1,5,YES
197,1,1,3,19,43,2,4,73,3,10,92,4,11,54,2,9,4,NO
545,36,36,2,31,140,4,7,411,13,31,464,14,31,358,11,31,6,YES
188,1,1,2,14,357,25,50,28,2,2,49,3,5,7,0,2,2,NO
73,1,1,1,3,24,8,8,90,30,30,165,55,55,15,5,5,1,NO
438,1,1,1,3,15,5,5,786,262,262,1116,372,372,456,152,152,1,NO
31,1,1,1,4,8,2,2,124,31,31,124,31,31,124,31,31,1,NO
168,1,1,1,11,77,7,7,55,5,5,88,8,8,22,2,2,1,YES
1263,1,1,1,2,28,14,14,54,27,27,106,53,53,2,1,1,1,NO
74,1,1,1,3,3,1,1,3,1,1,3,1,1,3,1,1,1,NO
124,1,1,2,23,116,5,7,1025,44,127,1054,45,127,996,43,127,3,NO
