@relation 'BOOKKEEPER'

@attribute release numeric
@attribute fileName string
@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/net/NetworkTopologyImpl.java,881,1,1,1,2,28,14,14,4,2,2,6,3,3,2,1,1,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/IndexInMemPageMgr.java,567,1,1,1,4,8,2,2,28,7,7,44,11,11,12,3,3,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ClientConnectionPeer.java,30,1,1,1,3,66,22,22,90,30,30,90,30,30,90,30,30,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ConnectionPeer.java,63,1,1,1,3,66,22,22,189,63,63,189,63,63,189,63,63,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/BookieLedgerIndexTest.java,232,1,1,1,7,350,50,50,14,2,2,14,2,2,14,2,2,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,1493,1,1,1,11,110,10,10,16423,1493,1493,16423,1493,1493,16423,1493,1493,1,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java,46,1,1,1,13,429,33,33,598,46,46,598,46,46,598,46,46,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,116,7,7,2,20,454,22,50,1536,76,116,1557,77,116,1515,75,116,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1030,36,36,6,376,2526,6,33,10309,27,106,16002,42,203,4616,12,100,36,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/net/NetUtils.java,84,1,1,1,2,28,14,14,22,11,11,46,23,23,-2,-1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,828,6,6,6,133,1287,9,33,3923,29,126,6858,51,193,988,7,62,16,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorPeriodicCheckTest.java,315,1,1,3,34,444,13,50,417,12,48,757,22,48,77,2,48,5,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/BookKeeperConstants.java,52,1,1,1,6,24,4,4,42,7,7,42,7,7,42,7,7,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean.java,88,1,1,3,20,148,7,11,33,1,3,100,5,5,-34,-1,1,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,659,36,36,5,169,1255,7,33,3331,19,108,5814,34,155,848,5,68,17,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/versioning/Version.java,62,1,1,1,11,55,5,5,341,31,31,352,32,32,330,30,30,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,106,3,3,3,44,358,8,15,887,20,72,1032,23,83,742,16,61,5,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/SnapshotMap.java,132,1,1,1,12,72,6,6,1584,132,132,1584,132,132,1584,132,132,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieRequestProcessor.java,296,1,1,2,10,73,7,22,74,7,20,88,8,20,60,6,20,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerFragmentReplicator.java,367,1,1,2,22,171,7,16,140,6,16,199,9,20,81,3,12,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieNettyServer.java,262,1,1,3,13,76,5,22,412,31,73,560,43,80,264,20,66,3,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CreateNewLogTest.java,102,1,1,1,12,37,3,15,1124,93,102,1125,93,102,1123,93,102,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperProtocol.java,7106,1,1,1,3,66,22,22,297,99,99,414,138,138,180,60,60,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,95,36,36,2,18,144,8,11,396,22,25,768,42,47,24,1,3,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/Value.java,157,1,1,1,3,51,17,17,9,3,3,15,5,5,3,1,1,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,99,15,15,4,66,1016,15,50,310,4,20,439,6,23,181,2,17,7,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/ReplicationWorker.java,406,1,1,3,39,206,5,12,753,19,54,1024,26,110,482,12,47,7,NO
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,273,1,1,2,15,140,9,17,187,12,41,366,24,82,8,0,1,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,496,1,1,3,128,946,7,33,7631,59,514,8527,66,514,6735,52,514,13,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestRackawareEnsemblePlacementPolicy.java,342,1,1,3,16,392,24,50,324,20,43,447,27,73,201,12,25,3,NO
1,bookkeeper-stats-providers/codahale-metrics-provider/src/main/java/org/apache/bookkeeper/stats/CodahaleMetricsProvider.java,141,1,1,3,21,21,1,1,175,8,16,210,10,16,140,6,16,3,NO
1,bookkeeper-stats-providers/prometheus-metrics-provider/src/main/java/org/apache/bookkeeper/stats/PrometheusStatsLogger.java,84,1,1,1,3,45,15,15,30,10,10,30,10,10,30,10,10,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/IndexCorruptionTest.java,153,1,1,1,18,427,23,50,124,6,10,391,21,33,-143,-7,0,2,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorLedgerCheckerTest.java,402,1,1,3,39,651,16,50,756,19,42,1327,34,92,185,4,42,5,YES
1,bookkeeper-stats/src/main/java/org/apache/bookkeeper/stats/NullStatsLogger.java,117,1,1,1,3,45,15,15,27,9,9,27,9,9,27,9,9,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/SyncThread.java,191,1,1,1,7,14,2,2,567,81,81,1141,163,163,-7,-1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,256,36,36,5,69,830,12,33,883,12,48,1248,18,57,518,7,39,9,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,943,36,36,5,296,2045,6,33,7654,25,164,11226,37,237,4082,13,91,31,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,623,1,1,4,74,366,4,17,328,4,9,458,6,11,198,2,7,8,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CompactionTest.java,467,1,1,5,72,1010,14,50,2666,37,169,3236,44,170,2096,29,168,9,YES
1,bookkeeper-stats/src/main/java/org/apache/bookkeeper/stats/CachingStatsProvider.java,55,1,1,1,3,45,15,15,165,55,55,165,55,55,165,55,55,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/BookieLedgerIndexer.java,136,1,1,3,21,201,9,11,55,2,5,120,5,8,-10,0,4,3,YES
