Index;Issue;IVersion;OVersion;AVersion;FixVersion
81;BOOKKEEPER-212;4.0.0;4.1.0;4.0.0;4.1.0;
82;BOOKKEEPER-213;4.0.0;4.1.0;4.0.0;4.1.0;
83;BOOKKEEPER-215;4.1.0;4.1.0;;4.1.0;
84;BOOKKEEPER-216;4.1.0;4.1.0;;4.1.0;
85;BOOKKEEPER-217;4.1.0;4.1.0;;4.1.0;
86;BOOKKEEPER-22;4.0.0;4.0.0;;4.0.0;
87;BOOKKEEPER-229;4.1.0;4.1.0;;4.1.0;
88;BOOKKEEPER-231;4.1.0;4.1.0;;4.1.0;
89;BOOKKEEPER-232;4.1.0;4.1.0;;4.1.0;
90;BOOKKEEPER-233;4.0.0;4.1.0;4.0.0, 4.1.0;4.1.1;
91;BOOKKEEPER-234;4.1.0;4.1.0;;4.1.0;
92;BOOKKEEPER-235;4.0.0;4.1.0;4.0.0;4.1.0;
93;BOOKKEEPER-24;4.0.0;4.0.0;4.0.0, 4.1.0, 4.1.1, 4.2.0, 4.2.1, 4.2.2, 4.3.0, 4.2.3, 4.3.1, 4.3.2, 4.4.0, 4.5.0, 4.5.1;4.6.0;
94;BOOKKEEPER-242;4.0.0;4.1.0;4.0.0;4.1.0;
95;BOOKKEEPER-245;4.0.0;4.1.0;4.0.0;4.1.0;
96;BOOKKEEPER-258;4.0.0;4.1.0;4.0.0;4.1.0;
97;BOOKKEEPER-260;4.0.0;4.1.0;4.0.0;4.1.0;
98;BOOKKEEPER-263;4.1.0;4.1.0;;4.1.0;
99;BOOKKEEPER-27;4.0.0;4.0.0;;4.0.0;
100;BOOKKEEPER-273;4.1.0;4.1.0;;4.1.0;
101;BOOKKEEPER-274;4.0.0;4.1.0;4.0.0, 4.1.0, 4.1.1;4.2.0;
102;BOOKKEEPER-279;4.0.0;4.1.0;4.0.0;4.1.0;
103;BOOKKEEPER-28;4.0.0;4.0.0;;4.0.0;
104;BOOKKEEPER-280;4.2.0;4.1.0;;4.2.0;
105;BOOKKEEPER-281;4.0.0;4.1.0;4.0.0;4.1.0;
106;BOOKKEEPER-285;4.1.0;4.1.0;;4.1.0;
107;BOOKKEEPER-286;4.1.0;4.1.0;;4.1.0;
108;BOOKKEEPER-287;4.0.0;4.1.0;4.0.0;4.1.0;
109;BOOKKEEPER-288;4.0.0;4.1.0;4.0.0;4.1.0;
110;BOOKKEEPER-29;4.0.0;4.0.0;;4.0.0;
111;BOOKKEEPER-291;4.0.0;4.1.0;4.0.0, 4.1.0, 4.1.1;4.2.0;
112;BOOKKEEPER-292;4.0.0;4.1.0;4.0.0, 4.1.0, 4.1.1;4.2.0;
113;BOOKKEEPER-294;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
114;BOOKKEEPER-296;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
115;BOOKKEEPER-298;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
