@relation 'TAJO'

@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
123,20,20,1,12,60,5,5,48,4,4,48,4,4,48,4,4,1,YES
126,1,1,1,9,119,13,15,270,30,30,279,31,31,261,29,29,1,NO
105,47,47,1,17,459,27,27,272,16,16,340,20,20,204,12,12,1,NO
96,1,1,1,11,110,10,10,121,11,11,143,13,13,99,9,9,1,NO
118,1,1,1,20,640,32,58,20,1,2,40,2,2,0,0,2,2,NO
164,1,1,2,57,348,6,14,783,13,16,1224,21,32,342,6,12,4,NO
203,1,1,2,12,528,44,130,13,1,2,31,2,6,-5,0,0,2,NO
67,47,47,1,17,1105,65,65,51,3,3,170,10,10,-68,-4,0,1,NO
200,20,20,2,24,204,8,14,120,5,8,144,6,8,96,4,8,2,NO
191,1,1,1,2,258,129,130,6,3,3,10,5,5,2,1,1,1,NO
717,1,1,1,11,154,14,14,2739,249,249,3443,313,313,2035,185,185,1,NO
116,9,9,1,24,744,31,40,240,10,14,240,10,14,240,10,14,2,YES
201,1,1,2,33,786,23,58,389,11,28,449,13,33,329,9,23,3,NO
662,20,20,1,29,190,6,13,150,5,6,203,7,7,97,3,5,2,YES
225,1,1,1,21,767,36,58,74,3,4,147,7,7,1,0,1,2,NO
397,1,1,1,12,48,4,4,2016,168,168,3528,294,294,504,42,42,1,NO
123,47,47,1,17,884,52,52,17,1,1,34,2,2,0,0,0,1,NO
461,6,6,1,10,20,2,2,30,3,3,40,4,4,20,2,2,1,NO
383,1,1,4,35,853,24,58,720,20,33,920,26,40,520,14,33,4,NO
61,1,1,1,2,4,2,2,122,61,61,122,61,61,122,61,61,1,NO
136,1,1,1,2,258,129,130,5,2,3,8,4,5,2,1,1,1,NO
432,47,47,2,85,1666,19,31,748,8,19,1258,14,40,238,2,7,5,NO
56,16,16,1,53,1326,25,40,173,3,6,257,4,10,89,1,6,4,YES
211,20,20,2,50,807,16,30,521,10,22,560,11,22,482,9,22,4,YES
65,1,1,1,3,48,16,16,6,2,2,9,3,3,3,1,1,1,NO
1627,6,6,6,119,2227,18,94,1559,13,37,4368,36,307,-1250,-10,14,11,YES
179,47,47,1,17,1105,65,65,68,4,4,204,12,12,-68,-4,0,1,NO
103,1,0,1,10,40,4,4,0,0,0,90,9,9,-90,-9,0,1,NO
1206,1,1,1,35,1242,35,94,975,27,81,1872,53,156,78,2,6,3,YES
55,20,20,1,10,90,9,9,40,4,4,120,12,12,-40,-4,0,1,NO
123,1,1,1,12,72,6,6,12,1,1,24,2,2,0,0,0,1,NO
151,20,20,1,5,145,29,29,25,5,5,440,88,88,-390,-78,0,1,NO
38,1,1,1,12,132,11,11,24,2,2,60,5,5,-12,-1,0,1,NO
91,1,1,1,12,144,12,12,48,4,4,48,4,4,48,4,4,1,NO
659,1,1,2,10,24,2,6,172,17,18,289,28,31,55,5,10,2,NO
94,42,42,1,34,1649,48,52,1802,53,82,1802,53,82,1802,53,82,2,NO
48,47,47,1,17,765,45,45,595,35,35,765,45,45,425,25,25,1,NO
49,20,20,1,12,60,5,5,60,5,5,60,5,5,60,5,5,1,NO
259,20,20,2,48,216,4,12,792,16,37,1248,26,52,336,7,22,4,YES
175,1,1,1,4,20,5,5,24,6,6,48,12,12,0,0,0,1,NO
127,5,5,2,40,563,14,21,130,3,5,238,5,10,22,0,2,3,YES
152,47,47,1,17,527,31,31,799,47,47,1122,66,66,476,28,28,1,NO
361,1,1,1,11,22,2,2,33,3,3,209,19,19,-143,-13,0,1,NO
412,1,1,2,14,216,15,50,362,25,56,473,33,56,251,17,56,3,NO
46,1,1,1,10,370,37,37,30,3,3,50,5,5,10,1,1,1,NO
232,20,20,1,41,1737,42,94,1234,30,98,1340,32,102,1128,27,94,3,YES
157,1,1,1,23,379,16,27,223,9,14,382,16,19,64,2,9,2,NO
121,20,20,1,29,1638,56,94,420,14,24,534,18,30,306,10,18,2,YES
76,1,1,1,10,230,23,23,760,76,76,760,76,76,760,76,76,1,NO
71,47,47,1,17,1105,65,65,51,3,3,170,10,10,-68,-4,0,1,NO
36,20,20,1,12,96,8,8,120,10,10,156,13,13,84,7,7,1,YES
172,1,1,1,11,55,5,5,33,3,3,33,3,3,33,3,3,1,NO
131,1,1,2,14,330,23,130,98,7,8,100,7,8,96,6,8,2,NO
67,1,1,1,12,24,2,2,84,7,7,132,11,11,36,3,3,1,NO
528,47,47,2,85,3366,39,65,238,2,9,459,5,15,17,0,3,5,NO
470,1,1,5,49,218,4,12,1911,39,136,2760,56,208,1062,21,64,5,NO
69,20,20,1,12,1128,94,94,12,1,1,24,2,2,0,0,0,1,YES
106,47,47,1,17,1105,65,65,51,3,3,170,10,10,-68,-4,0,1,NO
153,1,1,1,11,176,16,16,110,10,10,110,10,10,110,10,10,1,NO
130,1,1,2,24,324,13,130,112,4,8,136,5,9,88,3,7,3,NO
102,1,1,1,10,230,23,23,270,27,27,340,34,34,200,20,20,1,NO
85,1,1,1,11,33,3,3,187,17,17,451,41,41,-77,-7,0,1,NO
458,1,1,2,48,625,13,22,792,16,29,1080,22,35,504,10,23,5,YES
316,1,1,1,2,258,129,130,6,3,3,9,4,5,3,1,2,1,NO
444,1,1,1,2,258,129,130,11,5,6,20,10,11,2,1,1,1,NO
28,1,1,1,9,119,13,15,9,1,1,9,1,1,9,1,1,1,NO
343,1,1,2,6,104,17,50,26,4,5,42,7,7,10,1,3,2,NO
