@relation 'TAJO'

@attribute release numeric
@attribute fileName string
@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
1,tajo-common/src/main/java/org/apache/tajo/util/ClassUtil.java,211,1,1,1,1,1,1,1,5,5,5,7,7,7,3,3,3,1,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/planner/rewrite/ProjectionPushDownRule.java,1061,1,1,1,66,319,4,9,1375,20,87,1793,27,108,957,14,66,6,NO
1,tajo-core/tajo-core-backend/src/main/java/tajo/master/TaskRunnerLauncherImpl.java,507,47,47,2,119,3383,28,52,374,3,6,629,5,9,119,1,6,7,NO
1,tajo-storage/tajo-storage-hdfs/src/test/java/org/apache/tajo/storage/avro/TestAvroUtil.java,108,1,1,1,2,258,129,130,12,6,6,19,9,10,5,2,3,1,NO
1,tajo-client/src/main/java/org/apache/tajo/jdbc/WaitingResultSet.java,72,1,1,2,10,306,30,130,10,1,1,22,2,3,-2,0,0,2,NO
1,tajo-core/tajo-core-backend/src/main/java/tajo/engine/planner/PhysicalPlanner.java,35,47,47,1,17,1105,65,65,51,3,3,204,12,12,-102,-6,0,1,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/planner/physical/InsertRowsExec.java,107,1,1,1,2,258,129,130,2,1,1,4,2,2,0,0,0,1,NO
1,tajo-catalog/tajo-catalog-server/src/test/java/org/apache/tajo/catalog/store/TestXMLCatalogSchemaManager.java,496,1,1,2,18,246,13,23,78,4,7,148,8,14,8,0,1,2,NO
1,tajo-core-tests/src/test/java/org/apache/tajo/cli/tsql/TestTajoCliNegatives.java,137,1,1,2,16,64,4,6,16,1,1,32,2,2,0,0,0,2,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/query/QueryUnitRequest.java,51,1,1,1,10,80,8,8,20,2,2,30,3,3,10,1,1,1,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/planner/logical/TableSubQueryNode.java,180,1,0,1,11,176,16,16,0,0,0,11,1,1,-11,-1,0,1,NO
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/CatalogUtil.java,545,20,20,6,76,2035,26,130,2514,33,122,2916,38,125,2112,27,119,10,YES
1,tajo-common/src/test/java/org/apache/tajo/datum/TestBoolDatum.java,96,20,20,2,24,420,17,32,744,31,60,1320,55,106,168,7,14,2,YES
1,tajo-core-tests/src/test/java/org/apache/tajo/engine/eval/TestEvalTreeUtil.java,374,1,1,2,10,306,30,130,21,2,3,40,4,5,2,0,1,2,NO
1,tajo-core/tajo-core-backend/src/main/java/tajo/master/GlobalEngine.java,338,47,47,2,51,731,14,31,170,3,6,255,5,6,85,1,6,3,NO
1,tajo-core-tests/src/test/java/org/apache/tajo/cli/tools/TestDDLBuilder.java,141,1,1,1,2,258,129,130,16,8,8,20,10,10,12,6,6,1,NO
1,tajo-storage/src/main/java/org/apache/tajo/storage/MemoryUtil.java,163,1,1,1,12,324,27,27,24,2,2,24,2,2,24,2,2,1,NO
1,tajo-storage/tajo-storage-pgsql/src/test/java/org/apache/tajo/storage/pgsql/PgSQLTestServer.java,211,1,1,1,2,100,50,50,2,1,1,4,2,2,0,0,0,1,NO
1,tajo-core-tests/src/test/java/org/apache/tajo/engine/planner/physical/TestSortExec.java,178,1,1,1,2,258,129,130,4,2,2,14,7,7,-6,-3,0,1,NO
1,tajo-core/tajo-core-backend/src/test/java/org/apache/tajo/jdbc/TestResultSet.java,125,0,0,1,24,1272,53,94,84,3,6,144,6,9,24,1,3,2,YES
1,tajo-catalog/tajo-catalog-common/src/test/java/org/apache/tajo/catalog/TestTableMeta.java,129,20,20,2,11,276,25,130,260,23,27,273,24,27,247,22,27,2,NO
1,tajo-rpc/src/main/java/org/apache/tajo/rpc/RpcConnectionPool.java,198,3,3,2,22,121,5,10,198,9,12,264,12,16,132,6,8,2,NO
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/master/TajoMaster.java,646,20,20,2,53,179,3,7,298,5,14,535,10,23,61,1,5,4,YES
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/logical/RelationNode.java,48,9,9,1,24,228,9,11,48,2,2,48,2,2,48,2,2,2,NO
1,tajo-core/tajo-core-backend/src/test/java/org/apache/tajo/engine/query/TestCaseByCases.java,66,1,1,1,60,312,5,8,1272,21,66,1272,21,66,1272,21,66,5,YES
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/geoip/GeoIPCountryText.java,56,1,1,1,12,108,9,9,672,56,56,672,56,56,672,56,56,1,NO
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/master/querymaster/QueryUnitAttempt.java,383,14,14,1,48,216,4,12,120,2,7,276,5,11,-36,0,3,4,YES
1,tajo-storage/tajo-storage-hdfs/src/main/java/org/apache/tajo/storage/parquet/TajoWriteSupport.java,153,1,1,1,6,24,4,4,18,3,3,36,6,6,0,0,0,1,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/planner/NamedExprsManager.java,369,1,1,1,11,22,2,2,11,1,1,22,2,2,0,0,0,1,NO
1,tajo-common/src/main/java/org/apache/tajo/tuple/memory/UnSafeTupleBytesComparator.java,87,1,1,1,2,4,2,2,40,20,20,104,52,52,-24,-12,0,1,NO
1,tajo-client/src/main/java/org/apache/tajo/client/QueryClientImpl.java,628,1,1,3,48,1144,23,130,419,8,20,816,17,50,22,0,6,6,NO
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/InCountry.java,43,20,20,1,12,384,32,32,24,2,2,36,3,3,12,1,1,1,YES
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/TablePrimarySubQuery.java,62,6,6,1,12,156,13,13,12,1,1,24,2,2,0,0,0,1,YES
1,tajo-catalog/tajo-catalog-common/src/main/java/tajo/catalog/Options.java,185,47,47,1,17,527,31,31,34,2,2,85,5,5,-17,-1,0,1,NO
1,tajo-core/src/main/java/org/apache/tajo/worker/TajoResourceAllocator.java,376,1,1,3,30,703,23,37,559,18,50,1193,39,101,-75,-2,0,4,NO
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/TableMeta.java,138,20,20,2,38,288,7,14,87,2,4,197,5,7,-23,0,2,3,NO
1,tajo-common/src/main/java/org/apache/tajo/util/datetime/TimeMeta.java,213,1,1,1,2,258,129,130,40,20,20,40,20,20,40,20,20,1,NO
1,tajo-plan/src/main/java/org/apache/tajo/plan/verifier/LogicalPlanVerifier.java,280,1,1,1,8,32,4,4,120,15,15,128,16,16,112,14,14,1,NO
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/logical/GroupbyNode.java,203,20,20,1,82,2811,34,94,622,7,24,975,11,34,269,3,14,6,YES
1,tajo-core/src/test/java/org/apache/tajo/master/querymaster/TestKillQuery.java,108,1,1,1,11,44,4,4,1188,108,108,1188,108,108,1188,108,108,1,NO
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/logical/LogicalNode.java,123,20,20,1,12,60,5,5,48,4,4,48,4,4,48,4,4,1,YES
1,tajo-common/src/main/java/org/apache/tajo/service/BaseServiceTracker.java,126,1,1,1,9,119,13,15,270,30,30,279,31,31,261,29,29,1,NO
1,tajo-catalog/tajo-catalog-common/src/main/java/tajo/catalog/statistics/StatisticsUtil.java,105,47,47,1,17,459,27,27,272,16,16,340,20,20,204,12,12,1,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/planner/physical/JoinTupleComparator.java,96,1,1,1,11,110,10,10,121,11,11,143,13,13,99,9,9,1,NO
1,tajo-client/src/main/java/org/apache/tajo/client/QueryClient.java,118,1,1,1,20,640,32,58,20,1,2,40,2,2,0,0,2,2,NO
1,tajo-catalog/tajo-catalog-drivers/tajo-hcatalog/src/main/java/org/apache/tajo/catalog/store/HCatalogStoreClientPool.java,164,1,1,2,57,348,6,14,783,13,16,1224,21,32,342,6,12,4,NO
1,tajo-storage/tajo-storage-hdfs/src/test/java/org/apache/tajo/storage/TestMergeScanner.java,203,1,1,2,12,528,44,130,13,1,2,31,2,6,-5,0,0,2,NO
1,tajo-core/tajo-core-backend/src/main/java/tajo/engine/planner/physical/ProjectionExec.java,67,47,47,1,17,1105,65,65,51,3,3,170,10,10,-68,-4,0,1,NO
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/benchmark/TPCH.java,200,20,20,2,24,204,8,14,120,5,8,144,6,8,96,4,8,2,NO
1,tajo-core-tests/src/test/java/org/apache/tajo/engine/planner/TestJoinOrderAlgorithm.java,191,1,1,1,2,258,129,130,6,3,3,10,5,5,2,1,1,1,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/planner/UniformRangePartition.java,717,1,1,1,11,154,14,14,2739,249,249,3443,313,313,2035,185,185,1,NO
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/PlanString.java,116,9,9,1,24,744,31,40,240,10,14,240,10,14,240,10,14,2,YES
1,tajo-client/src/main/java/org/apache/tajo/jdbc/TajoResultSet.java,201,1,1,2,33,786,23,58,389,11,28,449,13,33,329,9,23,3,NO
1,tajo-core/tajo-core-pullserver/src/main/java/org/apache/tajo/pullserver/PullServerAuxService.java,662,20,20,1,29,190,6,13,150,5,6,203,7,7,97,3,5,2,YES
1,tajo-storage/src/main/java/org/apache/tajo/storage/TextSerializerDeserializer.java,225,1,1,1,21,767,36,58,74,3,4,147,7,7,1,0,1,2,NO
1,tajo-core/src/test/java/org/apache/tajo/jdbc/TestTajoDatabaseMetaData.java,397,1,1,1,12,48,4,4,2016,168,168,3528,294,294,504,42,42,1,NO
1,tajo-catalog/tajo-catalog-common/src/test/java/tajo/catalog/TestFunctionDesc.java,123,47,47,1,17,884,52,52,17,1,1,34,2,2,0,0,0,1,NO
1,tajo-common/src/main/java/org/apache/tajo/datum/protobuf/TextUtils.java,461,6,6,1,10,20,2,2,30,3,3,40,4,4,20,2,2,1,NO
1,tajo-client/src/main/java/org/apache/tajo/client/SessionConnection.java,383,1,1,4,35,853,24,58,720,20,33,920,26,40,520,14,33,4,NO
1,tajo-common/src/test/java/org/apache/tajo/tuple/memory/TestUnSafeTupleBytesComparator.java,61,1,1,1,2,4,2,2,122,61,61,122,61,61,122,61,61,1,NO
1,tajo-core-tests/src/test/java/org/apache/tajo/master/TestExecutionBlockCursor.java,136,1,1,1,2,258,129,130,5,2,3,8,4,5,2,1,1,1,NO
1,tajo-core/tajo-core-backend/src/main/java/tajo/master/QueryMaster.java,432,47,47,2,85,1666,19,31,748,8,19,1258,14,40,238,2,7,5,NO
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/LiteralValue.java,56,16,16,1,53,1326,25,40,173,3,6,257,4,10,89,1,6,4,YES
